id,cohortID,year,run,species,speciesid,start,type,dtrees,diameter,height,stembiomass,brbiomass,folbiomass,volume,isztree
1,226,2015,2,PAbi,2,2015,1,1,38.64468792382484,3165.4041001507862,742.5550338886196,52.97763262788609,29.61703878136044,1.856387584721549,0
2,2894,2015,28,PAbi,2,2015,1,1,24.03133178346057,2255.242647605084,204.58266498237472,18.07670975756308,15.643949538159832,0.5114566624559368,0
3,3343,2015,32,PAbi,2,2015,1,1,2.675527852495676,419.8645781658123,0.472115291058463,0.0573958894198703,0.4387249563841421,0.0011802882276461,0
4,7132,2015,68,PAbi,2,2015,1,1,40.58976604081653,3269.724939946056,846.1827993847107,58.74577203121342,35.377189560254074,2.115456998461777,0
5,7133,2015,68,PAbi,2,2015,1,1,20.591634963793883,2004.494397052424,133.50772180768354,12.419458780538193,12.783057800522853,0.3337693045192088,0
6,7134,2015,68,PAbi,2,2015,1,1,18.96761507723421,1880.686104575282,106.2824722590909,10.130394198207362,11.301018816019944,0.2657061806477272,0
7,7135,2015,68,PAbi,2,2015,1,1,43.88151445289512,3438.2798646565234,1039.9783929621897,69.01713732835661,39.76682499731477,2.5999459824054743,0
8,7136,2015,68,PAbi,2,2015,1,1,11.320076188115642,1247.270471122142,25.10609785917673,2.683523844851184,5.210417589879009,0.0627652446479418,0
9,7137,2015,68,PAbi,2,2015,1,1,18.36605312788993,1833.9133172312968,97.16958631647722,9.34568618398874,10.76768298838096,0.242923965791193,0
10,7138,2015,68,PAbi,2,2015,1,1,42.7597544670918,3381.9411601134334,971.3065779609132,65.44644724011104,38.25175017634876,2.428266444902283,0
11,7139,2015,68,PAbi,2,2015,1,1,8.356135915978335,977.742932164324,10.723969075771151,1.198149426771007,3.3045075585945454,0.0268099226894278,0
12,7140,2015,68,PAbi,2,2015,1,1,38.91813928794707,3180.2883861984424,756.6421251359994,53.77461328888383,33.214415076648905,1.8916053128399983,0
13,7141,2015,68,PAbi,2,2015,1,1,42.78540950530231,3383.2422039043454,972.8465718260315,65.52730379852342,38.28618082174488,2.432116429565079,0
14,8135,2015,78,PAbi,2,2015,1,1,17.74035676472998,1784.7318976298786,88.23026049657038,8.565882093700118,9.815665846541574,0.2205756512414259,0
15,9234,2015,88,PAbi,2,2015,1,1,40.39135616686484,3259.2475727474257,835.2454107403622,58.14692771153111,31.573159939858385,2.088113526850905,0
16,9539,2015,91,PAbi,2,2015,1,1,16.910389148628315,1718.6467461443558,77.19936017457563,7.588782787036602,11.313855710358316,0.192998400436439,0
17,9900,2015,95,PAbi,2,2015,1,1,35.352204400097825,2980.4091307475146,585.0981991370269,43.755029932009606,21.45660246910255,1.4627454978425671,0
18,10155,2015,97,PAbi,2,2015,1,1,32.89582496710179,2835.186317293983,481.928983349901,37.34830463176952,26.73900297238461,1.2048224583747524,0
19,15588,2015,151,PAbi,2,2015,1,1,13.827481972348998,1464.4815671409256,43.983520572247045,4.528090866690565,6.41621762834384,0.1099588014306176,0
20,17404,2015,169,PAbi,2,2015,1,1,17.59698610781929,1773.3855485280897,86.2580476994235,8.392428073240398,9.11338523922464,0.2156451192485587,0
21,17692,2015,172,PAbi,2,2015,1,1,24.95249457442104,2319.83846780507,226.88488399495265,19.77361092487,18.74213043371488,0.5672122099873816,0
22,20379,2015,200,PAbi,2,2015,1,1,13.59132144837605,1444.4328760478836,41.91221466976455,4.3301412786212,7.287554420621995,0.1047805366744113,0
23,20388,2016,1,PAbi,2,2015,1,1,1.2612262874386078,272.0127667181072,0.0679665448960693,0.0084375141726527,0.1579414368809537,0.0001699163622401,0
24,1285,2016,12,PAbi,2,2015,1,1,33.38426664528895,2862.33162560814,501.0989665738836,38.55827527632947,22.193376915842503,1.2527474164347088,0
25,20393,2016,41,PAbi,2,2015,1,1,1.275894735393451,273.56531583118687,0.0699536858162179,0.0086823199516404,0.159229623091722,0.0001748842145405,0
26,5595,2016,53,PAbi,2,2015,1,1,21.60126788107556,2080.160647825709,152.4667836037663,13.970301371409054,13.115337143482789,0.3811669590094156,0
27,6062,2016,57,PAbi,2,2015,1,1,25.336741103881607,2337.5822324737437,235.7155763351056,20.425877198796684,21.966319797601734,0.589288940837764,0
28,6710,2016,63,PAbi,2,2015,1,1,27.273167650567306,2472.115475265084,288.8416349377079,24.31861753843919,23.848297317814723,0.7221040873442698,0
29,8714,2016,83,PAbi,2,2015,1,1,21.708282296264503,2086.8873017564038,154.47912277686564,14.132033978227694,14.549221491240528,0.386197806942164,0
30,9347,2016,89,PAbi,2,2015,1,1,21.44277761302616,2065.045644875272,149.14600177084168,13.698484907527943,16.156263205426555,0.3728650044271042,0
31,10993,2016,105,PAbi,2,2015,1,1,18.961732220219908,1879.581818752147,106.15418752711952,10.119058862530492,11.87552244648108,0.2653854688177988,0
32,10994,2016,105,PAbi,2,2015,1,1,13.099322525999195,1402.6511001103788,37.806563600078114,3.934854834941485,6.7477794220161575,0.0945164090001952,0
33,10995,2016,105,PAbi,2,2015,1,1,18.07192395455562,1810.6250648219425,92.88748111015504,8.973315928583599,11.049491619154972,0.2322187027753876,0
34,10996,2016,105,PAbi,2,2015,1,1,35.13398163267873,2959.2186204537384,573.78827295772,43.04467254564569,29.952064760769908,1.4344706823943,0
35,10997,2016,105,PAbi,2,2015,1,1,21.528146514278987,2071.8187550576863,150.82902307276416,13.835371316538534,14.366324500110832,0.3770725576819104,0
36,10998,2016,105,PAbi,2,2015,1,1,21.606019055968705,2076.64421783439,152.27600827008834,13.951828637014788,14.44434468297116,0.3806900206752208,0
